family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,local_filename,pc1,pc2
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,799177406954422,5,0.4,descriptive__descriptive-05__dn040__slot05__seed799177406954422.flac,-0.31109732389450073,0.6550654768943787
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,755127694752658,6,1.0,descriptive__descriptive-05__dn100__slot06__seed755127694752658.flac,-0.4741717278957367,0.6389085650444031
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,755127694752658,6,0.7,descriptive__descriptive-05__dn070__slot06__seed755127694752658.flac,-0.4999791979789734,0.6787109971046448
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,755127694752658,6,0.55,descriptive__descriptive-05__dn055__slot06__seed755127694752658.flac,-0.4740467369556427,0.6432362198829651
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,755127694752658,6,0.4,descriptive__descriptive-05__dn040__slot06__seed755127694752658.flac,-0.39139002561569214,0.6431629657745361
abstract,Abstract,abstract-01,Solar ekphrasis,1,936466550673771,1,1.0,abstract__abstract-01__dn100__slot01__seed936466550673771.flac,0.2983067035675049,-0.2138976752758026
abstract,Abstract,abstract-01,Solar ekphrasis,1,936466550673771,1,0.7,abstract__abstract-01__dn070__slot01__seed936466550673771.flac,0.12421215325593948,0.04236588999629021
abstract,Abstract,abstract-01,Solar ekphrasis,1,936466550673771,1,0.55,abstract__abstract-01__dn055__slot01__seed936466550673771.flac,0.37333282828330994,-0.02728801593184471
abstract,Abstract,abstract-01,Solar ekphrasis,1,936466550673771,1,0.4,abstract__abstract-01__dn040__slot01__seed936466550673771.flac,0.14850208163261414,0.3181118071079254
abstract,Abstract,abstract-01,Solar ekphrasis,1,937150080021621,2,1.0,abstract__abstract-01__dn100__slot02__seed937150080021621.flac,0.0976935625076294,-0.046968974173069
abstract,Abstract,abstract-01,Solar ekphrasis,1,937150080021621,2,0.7,abstract__abstract-01__dn070__slot02__seed937150080021621.flac,0.06034895032644272,0.0640740841627121
abstract,Abstract,abstract-01,Solar ekphrasis,1,937150080021621,2,0.55,abstract__abstract-01__dn055__slot02__seed937150080021621.flac,0.17788833379745483,0.1352614164352417
abstract,Abstract,abstract-01,Solar ekphrasis,1,937150080021621,2,0.4,abstract__abstract-01__dn040__slot02__seed937150080021621.flac,-0.04452301934361458,0.3530633747577667
abstract,Abstract,abstract-01,Solar ekphrasis,1,713301688808005,3,1.0,abstract__abstract-01__dn100__slot03__seed713301688808005.flac,0.16483554244041443,0.24194516241550446
abstract,Abstract,abstract-01,Solar ekphrasis,1,713301688808005,3,0.7,abstract__abstract-01__dn070__slot03__seed713301688808005.flac,-0.04122461378574371,0.3226481080055237
abstract,Abstract,abstract-01,Solar ekphrasis,1,713301688808005,3,0.55,abstract__abstract-01__dn055__slot03__seed713301688808005.flac,-0.07929076254367828,0.40179678797721863
abstract,Abstract,abstract-01,Solar ekphrasis,1,713301688808005,3,0.4,abstract__abstract-01__dn040__slot03__seed713301688808005.flac,0.22363032400608063,-0.21959401667118073
abstract,Abstract,abstract-01,Solar ekphrasis,1,417441241092408,4,1.0,abstract__abstract-01__dn100__slot04__seed417441241092408.flac,0.12200304120779037,0.11453532427549362
abstract,Abstract,abstract-01,Solar ekphrasis,1,417441241092408,4,0.7,abstract__abstract-01__dn070__slot04__seed417441241092408.flac,-0.07302899658679962,0.45712825655937195
abstract,Abstract,abstract-01,Solar ekphrasis,1,417441241092408,4,0.55,abstract__abstract-01__dn055__slot04__seed417441241092408.flac,-0.0001458934275433421,0.4920336604118347
abstract,Abstract,abstract-01,Solar ekphrasis,1,417441241092408,4,0.4,abstract__abstract-01__dn040__slot04__seed417441241092408.flac,0.22784727811813354,0.29851043224334717
abstract,Abstract,abstract-01,Solar ekphrasis,1,660458076140203,5,1.0,abstract__abstract-01__dn100__slot05__seed660458076140203.flac,-0.11987115442752838,0.07525897771120071
abstract,Abstract,abstract-01,Solar ekphrasis,1,660458076140203,5,0.7,abstract__abstract-01__dn070__slot05__seed660458076140203.flac,0.15263669192790985,0.04624026641249657
abstract,Abstract,abstract-01,Solar ekphrasis,1,660458076140203,5,0.55,abstract__abstract-01__dn055__slot05__seed660458076140203.flac,0.30295976996421814,-0.0069161406718194485
abstract,Abstract,abstract-01,Solar ekphrasis,1,660458076140203,5,0.4,abstract__abstract-01__dn040__slot05__seed660458076140203.flac,0.19623440504074097,0.16713076829910278
abstract,Abstract,abstract-01,Solar ekphrasis,1,873534913822354,6,1.0,abstract__abstract-01__dn100__slot06__seed873534913822354.flac,-0.026851553469896317,0.09966301918029785
abstract,Abstract,abstract-01,Solar ekphrasis,1,873534913822354,6,0.7,abstract__abstract-01__dn070__slot06__seed873534913822354.flac,-0.031122533604502678,0.09136919677257538
abstract,Abstract,abstract-01,Solar ekphrasis,1,873534913822354,6,0.55,abstract__abstract-01__dn055__slot06__seed873534913822354.flac,-0.16407471895217896,0.14742828905582428
abstract,Abstract,abstract-01,Solar ekphrasis,1,873534913822354,6,0.4,abstract__abstract-01__dn040__slot06__seed873534913822354.flac,0.07799287140369415,0.06316258013248444
abstract,Abstract,abstract-02,Cosmic infoldings,2,467779948461085,1,1.0,abstract__abstract-02__dn100__slot01__seed467779948461085.flac,0.2847430109977722,-0.06385282427072525
abstract,Abstract,abstract-02,Cosmic infoldings,2,467779948461085,1,0.7,abstract__abstract-02__dn070__slot01__seed467779948461085.flac,0.35811421275138855,-0.0503353588283062
